,frame,human,point,x,y
0,0,1,0,920,302
0,0,1,1,846,326
0,0,1,2,862,358
0,0,1,3,842,434
0,0,1,4,836,448
0,0,1,5,840,286
0,0,1,6,836,200
0,0,1,7,830,138
0,0,1,8,766,398
0,0,1,9,850,478
0,0,1,10,848,592
0,0,1,11,734,370
0,0,1,12,658,482
0,0,1,13,604,550
0,0,1,14,912,296
0,0,1,16,880,308
0,2,1,0,922,302
0,2,1,1,846,326
0,2,1,2,862,358
0,2,1,3,842,436
0,2,1,4,838,446
0,2,1,5,840,282
0,2,1,6,834,198
0,2,1,7,828,138
0,2,1,8,766,400
0,2,1,9,850,480
0,2,1,10,848,594
0,2,1,11,734,372
0,2,1,12,660,480
0,2,1,13,602,554
0,2,1,14,916,296
0,2,1,16,886,314
0,4,1,1,846,328
0,4,1,2,864,364
0,4,1,3,842,438
0,4,1,4,836,446
0,4,1,5,838,284
0,4,1,6,834,196
0,4,1,7,828,138
0,4,1,8,768,406
0,4,1,9,850,480
0,4,1,10,848,594
0,4,1,11,734,374
0,4,1,12,660,482
0,4,1,13,602,554
0,4,1,16,892,316
0,4,1,17,862,276
0,6,1,1,844,336
0,6,1,2,866,368
0,6,1,3,842,438
0,6,1,4,838,448
0,6,1,5,828,300
0,6,1,6,834,202
0,6,1,7,830,138
0,6,1,8,766,406
0,6,1,9,850,482
0,6,1,10,848,594
0,6,1,11,734,376
0,6,1,12,660,482
0,6,1,13,604,554
0,6,1,16,896,316
0,6,1,17,862,282
0,8,1,1,844,338
0,8,1,2,868,370
0,8,1,3,842,438
0,8,1,4,840,450
0,8,1,5,822,308
0,8,1,8,772,414
0,8,1,9,852,484
0,8,1,10,848,596
0,8,1,11,734,380
0,8,1,12,660,484
0,8,1,13,602,558
0,8,1,16,900,318
0,8,1,17,864,284
0,10,1,1,848,336
0,10,1,2,866,370
0,10,1,3,842,438
0,10,1,5,838,296
0,10,1,6,838,204
0,10,1,7,834,146
0,10,1,8,766,408
0,10,1,9,850,484
0,10,1,10,848,600
0,10,1,11,736,380
0,10,1,12,660,486
0,10,1,13,602,558
0,10,1,16,900,322
0,10,1,17,874,288
0,12,1,1,852,336
0,12,1,2,870,372
0,12,1,5,840,296
0,12,1,6,838,208
0,12,1,8,764,408
0,12,1,9,850,486
0,12,1,10,848,600
0,12,1,11,732,382
0,12,1,12,660,486
0,12,1,13,600,560
0,12,1,15,884,282
0,12,1,16,902,326
0,12,1,17,880,288
0,14,1,1,850,340
0,14,1,2,870,374
0,14,1,3,844,438
0,14,1,5,836,302
0,14,1,6,836,208
0,14,1,7,836,146
0,14,1,8,770,414
0,14,1,9,850,488
0,14,1,10,848,602
0,14,1,11,736,382
0,14,1,12,660,488
0,14,1,13,600,562
0,14,1,16,904,326
0,14,1,17,880,292
0,16,1,1,852,340
0,16,1,2,870,376
0,16,1,3,844,438
0,16,1,5,840,302
0,16,1,6,836,208
0,16,1,7,834,146
0,16,1,8,770,414
0,16,1,9,850,490
0,16,1,10,848,602
0,16,1,11,736,382
0,16,1,12,658,490
0,16,1,13,600,564
0,16,1,16,904,330
0,16,1,17,882,292
